,MosqueName,MosqueAddress
6,Mosquée,"18, Bois des Besses - 63780 SAINT GEORGES DE MONS"
7,Mosquée,rue Ganne - 63770 LES ANCIZES COMPS
8,Mosquée,"2, route Clermont - 63650 LA MONNERIE LE MONTEL"
9,Mosquée,"17, rue Devidal - 63500 ISSOIRE"
10,Mosquée,"16, rue du Bout du Plot - 63800 COURNON D AUVERGNE"
11,Mosquée,"58, rue de la Rocade - 63000 CLERMONT FERRAND"
12,Mosquée,"52, rue Auger - 63000 CLERMONT FERRAND"
13,Mosquée,"58, rue de la Rocade - 63000 CLERMONT FERRAND"
14,Mosquée,"25, rue des Cordeliers - 63000 CLERMONT FERRAND"
15,Mosquée,"2, rue Edouard Michelin - 63000 CLERMONT FERRAND"
16,Mosquée,"52, rue Auger - 63000 CLERMONT FERRAND"
17,Salle de prière,"4, Rue de l'école - 63000 CLERMONT FERRAND"
18,Mosquée,"9, rue Boirot - 63000 CLERMONT FERRAND"
19,Mosquée SULTAN AHMET,"34, rue du Dr. Pierre Balme - 63000 CLERMONT FERRAND"
20,Mosquée EN-NOUR,"23, rue d'Aubrac - 63000 CLERMONT FERRAND"
21,Mosquée ET-TAWHID,"43, rue Sainte-Claire - 63000 CLERMONT FERRAND"
22,Salle De Prière,rue le Prat - 63170 AUBIERE
23,Mosquée,"21, rue du Chicot - 63600 AMBERT"
24,Mosquée,15 rue du Dr Nivet - 63100 CLERMONT-FERRAND
25,Mosquée Ala wahda,2 Rue de la fontcimagne - 63100 CLERMONT-FERRAND
26,Salle de prière,33 Rue Gambetta - 63300 THIERS
27,Mosquée Assalam ,327 Boulevard Etienne Clémentel - 63100 CLERMONT-FERRAND
0,Mosquée d'Hérouville,Allée Boiselles - 14200 HÉROUVILLE-SAINT-CLAIR
1,Mosquée,"6, rue Alexandre Piel - 14100 LISIEUX"
2,Mosquée,"51, rue Emile Renouf - 14600 HONFLEUR"
3,Mosquée,"8 bis, rue de Touraine - 14000 CAEN"
4,Mosquée AL-FATEH,"437, rue de Caen IFS - 14000 CAEN"
5,Mosquée Salle du Presbytère de la Guérinière,Rue Gutemberg - 14000 CAEN
6,Mosquée Annour,715-716 boulevard de la Grande-Delle  - 14200 HEROUVILLE SAINT CLAIR
7,Mosquée Unité Islamique,Rue de Genève - 14000 CAEN
0,Mosquée FATIH CAMII,"29, rue du Roule - 50100 CHERBOURG"
1,Mosquée de Cherbourg-Octeville,"46, rue Coluche - 50130 CHERBOURG-OCTEVILLE"
2,Mosquée,"61, rue Sadi Carnot - 50130 OCTEVILLE"
0,Mosquée AD'DAWA,25 rue du Pont Féron - 61100 FLERS
1,Mosquée AMC de Vimoutiers,53 rue du pont vautiers - 61120 VIMOUTIERS
2,Mosquée,"46, rue du Croissant - 61200 ARGENTAN"
3,Mosquée Al Rahma,88 Avenue du Mont Saint-Michel - 61300 L AIGLE
4,Mosquée,"9, résidence Fauvette - 61300 SAINT SULPICE SUR RISLE"
5,Mosquée,"14, rue de la Fonte - 61300 L AIGLE"
6,Mosquée,"22 bis, rue de la Poterie, - 61200 ARGENTAN"
