"","X","Address","lon","lat","AddressTrimmed"
"2653",13,"Lagny sur Marne, Île-de-France, 77000  ",2.713016,48.87296,"Lagny sur Marne, Île-de-France, 77000  "
"2654",15,"Desvres, Nord-Pas-de-Calais Picardie, 62240  ",1.830808,50.673068,"Desvres, Nord-Pas-de-Calais Picardie, 62240  "
"2655",17,"Arras, Nord-Pas-de-Calais-Picardie, 62000  ",2.7451657,50.2900519,"Arras, Nord-Pas-de-Calais-Picardie, 62000  "
"2656",19,"Ardres, Nord-Pas-de-Calais-Picardie, 62610  ",1.976552,50.853961,"Ardres, Nord-Pas-de-Calais-Picardie, 62610  "
"2657",21,"Versailles, Île-de-France, 78000  ",2.1263646,48.7989569,"Versailles, Île-de-France, 78000  "
"2658",23,"Pont de L'Arche, 27340  ",1.158169,49.303449,"Pont de L'Arche, 27340  "
"2659",25,"Ablis, Île-de-France, 78660  ",1.834473,48.517311,"Ablis, Île-de-France, 78660  "
"2660",27,"Sotteville les Rouen, Normandy, 76300  ",1.0915405,49.4147405,"Sotteville les Rouen, Normandy, 76300  "
"2661",29,"Lembeye, Aquitaine-Limousin-Poitou-Charentes, 64350  ",-0.112597,43.449572,"Lembeye, Aquitaine-Limousin-Poitou-Charentes, 64350  "
"2662",31,"Rouffach, Alsace-Champagne-Ardenne-Lorraine, 68250  ",7.299417,47.957064,"Rouffach, Alsace-Champagne-Ardenne-Lorraine, 68250  "
"2663",33,"Lyon 8, Auvergne-Rhône-Alpes, 69008  ",4.8696165,45.7315386,"Lyon 8, Auvergne-Rhône-Alpes, 69008  "
"2664",35,"Vaulx En Velin, Auvergne-Rhône-Alpes, 69120  ",4.9303872,45.7883108,"Vaulx En Velin, Auvergne-Rhône-Alpes, 69120  "
"2665",37,"Montceau Les Mines, Bourgogne Franche-Comté, 71300  ",4.362979,46.67413,"Montceau Les Mines, Bourgogne Franche-Comté, 71300  "
"2666",39,"Rognes, 13840  ",5.3416255,43.6567227,"Rognes, 13840  "
"2667",41,"Fos Sur Mer, 13270  ",4.9143239,43.4745483,"Fos Sur Mer, 13270  "
"2668",43,"Paris, 75016  ",2.2748917,48.85816,"Paris, 75016  "
"2669",45,"Parish, Île-de-France, 75019  ",2.3827609,48.8809496,"Parish, Île-de-France, 75019  "
"2670",47,"Laval, Pays de la Loire, 53000  ",-0.7646412,48.0678944,"Laval, Pays de la Loire, 53000  "
"2671",49,"Jeumont, Nord-Pas-de-Calais Picardie, 59460  ",4.1077176,50.2912521,"Jeumont, Nord-Pas-de-Calais Picardie, 59460  "
"2672",51,"Bethune, Nord-Pas-de-Calais-Picardie, 62400  ",2.63926,50.531036,"Bethune, Nord-Pas-de-Calais-Picardie, 62400  "
